epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,2.364143180847168,0.11734041571617126,0.15848270058631897,0.11118506640195847,0.12245356291532516,0.3582889437675476,0.42480573058128357,0.29015815258026123,0.7567620277404785,0.4275369644165039
2,2.0029598236083985,0.12481558322906494,0.1728280484676361,0.11887207627296448,0.12755389511585236,0.37161824107170105,0.45598503947257996,0.3118654489517212,0.7998425960540771,0.45261701941490173
3,1.9046865463256837,0.22533687949180603,0.22095070779323578,0.18957607448101044,0.2349972277879715,0.4587099850177765,0.5747024416923523,0.4263632297515869,0.8168584704399109,0.5256383419036865
4,1.8014141082763673,0.256811261177063,0.28759753704071045,0.22718898952007294,0.27013397216796875,0.49420976638793945,0.6351922750473022,0.4757533073425293,0.8631848096847534,0.5694845914840698
5,1.7486528396606444,0.28730204701423645,0.32764938473701477,0.2612627446651459,0.29707688093185425,0.5234577655792236,0.6780760884284973,0.5127823948860168,0.9101012945175171,0.6086074709892273
6,1.679229736328125,0.2970394492149353,0.35882189869880676,0.2672887444496155,0.29226863384246826,0.5260016918182373,0.6751253604888916,0.515130341053009,0.8881675601005554,0.6025556921958923
7,1.6302047729492188,0.32536637783050537,0.38746747374534607,0.30680784583091736,0.32998254895210266,0.5538226366043091,0.7173207402229309,0.5518231987953186,0.917478084564209,0.634406328201294
8,1.5513940811157227,0.3694305121898651,0.433804988861084,0.3529621660709381,0.37211430072784424,0.5904508829116821,0.7709255218505859,0.6008742451667786,0.9351824522018433,0.6688486337661743
9,1.5096774101257324,0.3883151412010193,0.4611060321331024,0.3775554597377777,0.3897729516029358,0.6064360737800598,0.7867610454559326,0.6193980574607849,0.9388216733932495,0.6823517084121704
10,1.4990422248840332,0.3861512839794159,0.4721261262893677,0.3813908100128174,0.37907934188842773,0.6047424674034119,0.7853840589523315,0.6173162460327148,0.9434444308280945,0.6826528310775757
11,1.4507590293884278,0.3995278775691986,0.48592203855514526,0.3961086869239807,0.3957396149635315,0.6176197528839111,0.8023015260696411,0.6335216164588928,0.952394962310791,0.6957192420959473
12,1.405617904663086,0.40582275390625,0.508837103843689,0.4063758850097656,0.39826008677482605,0.6216688752174377,0.8096783757209778,0.6400308012962341,0.9493458867073059,0.6977606415748596
13,1.3802733421325684,0.41437986493110657,0.5078476071357727,0.4146629571914673,0.4095402956008911,0.6344977021217346,0.8343660831451416,0.6594266295433044,0.9599685072898865,0.7115336060523987
14,1.351823616027832,0.41064226627349854,0.5166827440261841,0.4140302538871765,0.4044685959815979,0.6301699876785278,0.8253172039985657,0.6523379683494568,0.9590832591056824,0.7078530788421631
15,1.3285653114318847,0.41054391860961914,0.5265320539474487,0.41556382179260254,0.39854851365089417,0.6293891668319702,0.8293498158454895,0.6531976461410522,0.9624274373054504,0.7084636092185974
